id,scientificName,latitude,longitude,eventDate,basisOfRecord,occurrenceStatus,datasetName,institutionCode,abundance
221,Amanita,9.75,-83.78,2015-01-01,MaterialSample,present,Amanita_study,GBIF,2
222,Amanita,-38.6607,-72.6,2020-01-01,MaterialSample,present,Amanita_study,GBIF,5197
223,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,45
225,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,32
232,Amanita,54.3333,-123.267,2015-01-01,MaterialSample,present,Amanita_study,GBIF,6
234,Amanita,-33.6157,150.722,2015-01-01,MaterialSample,present,Amanita_study,GBIF,6587
237,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,59
238,Amanita,46.4053,10.5849,2015-01-01,MaterialSample,present,Amanita_study,GBIF,4
242,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,204
244,Amanita,-27.3309,-65.9513,2011-01-01,MaterialSample,present,Amanita_study,GBIF,807
246,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,691
248,Amanita,24.533,101.016,2015-01-01,MaterialSample,present,Amanita_study,GBIF,4
250,Amanita,-35.1019,138.651,2014-01-01,MaterialSample,present,Amanita_study,GBIF,5
256,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,10
258,Amanita,40.8833,123.937,2014-01-01,MaterialSample,present,Amanita_study,GBIF,6
263,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,94
266,Amanita,48.3912,9.49047,2011-01-01,MaterialSample,present,Amanita_study,GBIF,984
267,Amanita,9.75,-83.78,2015-01-01,MaterialSample,present,Amanita_study,GBIF,17
269,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,5
271,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,112
274,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,38
275,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,2
277,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,121
281,Amanita,21.61,101.57,2016-01-01,MaterialSample,present,Amanita_study,GBIF,1
284,Amanita,58.2855,27.2741,2017-01-01,MaterialSample,present,Amanita_study,GBIF,9
285,Amanita,24.533,101.016,2015-01-01,MaterialSample,present,Amanita_study,GBIF,9
286,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,4
287,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,4
290,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,10
291,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,2
